#CHROM	START	STOP	FF	FM1	FM2
4	2000000	3000000	1|1	6|14	9|9
4	3000000	4000000	7|16	4|5	12|12
4	4000000	5000000	9|18	2|3	15|15
4	5000000	6000000	2|16	11|12	8|8
4	6000000	7000000	13|21	5|10	8|8
4	7000000	8000000	10|19	4|17	13|13
4	8000000	9000000	4|23	13|25	18|18
4	9000000	10000000	9|19	16|17	20|20
4	10000000	11000000	3|8	10|15	13|13
4	11000000	12000000	5|22	18|25	29|29
4	12000000	13000000	11|35	4|8	30|31
4	13000000	14000000	1|1	17|27	8|13
4	14000000	15000000	9|16	24|37	19|38
4	15000000	16000000	6|25	9|22	17|17
4	16000000	17000000	1|6	14|21	12|12
4	17000000	18000000	9|24	9|27	11|11
4	18000000	19000000	12|25	12|22	2|2
4	19000000	20000000	4|26	11|29	24|24
4	20000000	21000000	18|18	27|30	12|12
4	21000000	22000000	22|23	19|28	6|6
4	22000000	23000000	1|25	2|3	6|6
4	23000000	24000000	1|4	2|8	19|19
4	24000000	25000000	1|13	4|6	19|19
4	25000000	26000000	5|31	1|8	20|20
4	26000000	27000000	7|25	12|28	12|12
4	27000000	28000000	21|33	3|30	3|3
4	28000000	29000000	1|32	20|37	37|37
4	29000000	30000000	18|29	6|11	11|11
4	30000000	31000000	2|21	12|18	18|18
4	31000000	32000000	3|11	19|31	19|19
4	32000000	33000000	7|19	8|27	27|27
4	33000000	34000000	4|24	9|21	21|21
4	34000000	35000000	3|19	4|8	4|4
4	35000000	36000000	18|26	1|7	7|7
4	36000000	37000000	12|30	6|20	6|6
4	37000000	38000000	25|33	12|19	12|12
4	38000000	39000000	5|25	16|25	16|16
4	39000000	40000000	11|17	9|28	28|28
4	40000000	41000000	6|11	12|27	27|27
4	41000000	42000000	12|17	26|32	32|32
4	42000000	43000000	15|29	1|26	1|1
4	43000000	44000000	4|41	36|44	45|45
4	44000000	45000000	3|20	22|36	15|15
4	45000000	46000000	1|19	12|14	25|25
4	46000000	47000000	14|34	3|10	13|13
4	47000000	48000000	18|39	4|12	20|20
4	48000000	49000000	3|5	36|41	41|41
4	49000000	50000000	9|16	8|35	7|7
4	50000000	51000000	13|21	15|45	35|35
4	51000000	52000000	1|8	19|33	36|36
4	52000000	53000000	1|25	7|10	28|28
4	53000000	54000000	3|33	28|41	26|26
4	54000000	55000000	5|37	8|23	30|30
4	55000000	56000000	13|19	21|33	9|9
4	56000000	57000000	16|18	13|35	6|6
4	57000000	58000000	4|39	2|25	28|28
4	58000000	59000000	2|22	5|40	8|13
4	59000000	60000000	19|26	40|46	21|23
4	60000000	61000000	2|6	21|23	7|30
4	61000000	62000000	17|32	2|20	5|10
4	62000000	63000000	19|29	3|31	3|22
4	63000000	64000000	12|25	4|34	8|30
4	64000000	65000000	7|35	22|32	13|14
4	65000000	66000000	28|33	12|19	8|30
4	66000000	67000000	2|33	7|40	11|15
4	67000000	68000000	1|22	5|15	10|34
4	68000000	69000000	29|36	3|16	7|13
4	69000000	70000000	18|40	20|33	3|35
4	70000000	71000000	5|37	3|29	8|19
4	71000000	72000000	13|16	1|1	4|16
4	72000000	73000000	3|31	8|8	24|31
4	73000000	74000000	1|3	30|30	2|39
4	74000000	75000000	17|24	3|3	14|31
4	75000000	76000000	4|20	17|18	4|26
4	76000000	77000000	25|38	22|32	15|28
4	77000000	78000000	24|32	3|40	26|34
4	78000000	79000000	7|7	24|41	16|33
4	79000000	80000000	2|5	11|30	10|15
4	80000000	81000000	22|42	17|37	7|8
4	81000000	82000000	32|46	2|35	1|26
4	82000000	83000000	1|29	26|42	20|40
4	83000000	84000000	10|31	2|22	2|28
4	84000000	85000000	26|43	6|11	11|32
4	85000000	86000000	22|42	9|38	22|26
4	86000000	87000000	3|7	7|11	7|35
4	87000000	88000000	4|9	9|36	9|20
4	88000000	89000000	3|16	8|16	12|16
5	0	1000000	3|9	1|12	11|12
5	1000000	2000000	14|17	1|8	5|8
5	2000000	3000000	4|10	1|10	10|18
5	3000000	4000000	5|15	1|5	5|21
5	4000000	5000000	12|22	2|9	9|23
5	5000000	6000000	17|29	1|29	22|29
5	6000000	7000000	9|22	2|9	9|24
5	7000000	8000000	2|17	2|8	2|8
5	8000000	9000000	17|18	2|16	13|16
5	9000000	10000000	7|33	3|24	21|24
5	10000000	11000000	9|16	21|24	3|23
5	11000000	12000000	29|37	9|19	13|34
5	12000000	13000000	11|34	4|32	13|32
5	13000000	14000000	2|12	19|42	26|46
5	14000000	15000000	11|29	9|33	9|30
5	15000000	16000000	24|32	12|18	12|26
5	16000000	17000000	25|35	20|22	5|20
5	17000000	18000000	4|44	12|27	15|21
5	18000000	19000000	3|5	16|25	6|45
5	19000000	20000000	8|13	3|31	21|34
5	20000000	21000000	8|26	3|7	10|44
5	21000000	22000000	5|24	7|8	12|24
5	22000000	23000000	15|28	23|37	18|43
5	23000000	24000000	33|40	7|22	7|32
5	24000000	25000000	30|34	7|24	3|26
5	25000000	26000000	16|23	10|20	24|37
5	26000000	27000000	21|29	8|22	15|24
5	27000000	28000000	2|7	21|41	4|32
5	28000000	29000000	3|39	7|35	20|24
5	29000000	30000000	5|33	9|28	12|14
5	30000000	31000000	22|31	16|30	7|10
5	31000000	32000000	15|23	5|22	20|24
5	32000000	33000000	9|28	6|18	17|25
5	33000000	34000000	7|13	8|28	3|19
5	34000000	35000000	8|25	18|20	24|27
5	35000000	36000000	3|30	11|28	15|26
5	36000000	37000000	3|28	11|21	6|22
5	37000000	38000000	4|9	14|35	1|22
5	38000000	39000000	2|16	22|24	17|27
5	39000000	40000000	3|14	19|25	17|20
5	40000000	41000000	1|12	14|17	3|26
5	41000000	42000000	1|22	9|11	13|17
5	42000000	43000000	21|24	15|29	7|14
5	43000000	44000000	5|6	7|13	9|12
5	44000000	45000000	9|27	7|16	4|20
5	45000000	46000000	1|22	7|26	11|19
5	46000000	47000000	6|34	3|15	5|9
5	47000000	48000000	18|24	23|33	22|25
5	48000000	49000000	20|26	21|22	2|7
5	49000000	50000000	7|16	23|31	26|33
5	50000000	51000000	2|45	22|34	6|16
5	51000000	52000000	12|28	6|27	2|21
5	52000000	53000000	15|15	16|33	4|17
5	53000000	54000000	25|28	8|42	37|40
5	54000000	55000000	7|7	10|31	12|34
5	55000000	56000000	37|38	11|43	24|50
5	56000000	57000000	1|25	5|10	31|31
5	57000000	58000000	1|35	10|32	25|26
5	58000000	59000000	2|29	4|38	36|42
5	59000000	60000000	10|28	16|24	10|31
5	60000000	61000000	6|35	14|18	6|29
5	61000000	62000000	15|34	5|26	15|17
5	62000000	63000000	4|15	6|10	4|21
5	63000000	64000000	9|20	4|17	5|20
5	64000000	65000000	6|23	2|33	6|28
5	65000000	66000000	6|10	22|42	6|19
5	66000000	67000000	1|13	45|57	1|15
5	67000000	68000000	40|42	15|23	29|42
5	68000000	69000000	10|36	27|32	10|37
5	69000000	70000000	4|29	4|11	17|29
5	70000000	71000000	6|14	6|25	13|14
5	71000000	72000000	7|34	27|34	7|13
5	72000000	73000000	5|9	8|9	3|33
5	73000000	74000000	7|41	17|41	10|19
5	74000000	75000000	13|18	4|8	25|27
5	75000000	76000000	11|16	3|23	2|26
5	76000000	77000000	1|11	5|14	19|23
5	77000000	78000000	20|29	6|12	7|26
5	78000000	79000000	20|22	9|38	1|37
5	79000000	80000000	10|15	19|23	26|28
5	80000000	81000000	3|21	7|15	5|6
5	81000000	82000000	22|25	5|23	16|20
5	82000000	83000000	28|33	1|25	7|40
5	83000000	84000000	9|22	1|45	25|30
5	84000000	85000000	37|45	4|40	43|49
5	85000000	86000000	29|37	2|24	12|22
5	86000000	87000000	16|39	2|44	20|35
5	87000000	88000000	27|42	4|25	31|43
5	88000000	89000000	18|42	2|42	47|47
6	0	1000000	8|10	9|13	4|9
6	1000000	2000000	5|14	2|9	2|10
6	2000000	3000000	2|11	5|8	5|8
6	3000000	4000000	9|17	4|13	11|13
6	4000000	5000000	6|12	2|15	13|15
6	5000000	6000000	3|9	5|20	5|23
6	6000000	7000000	5|12	16|18	9|18
6	7000000	8000000	15|23	9|10	9|24
6	8000000	9000000	4|10	6|27	3|27
6	9000000	10000000	12|32	20|23	5|20
6	10000000	11000000	3|37	25|32	12|24
6	11000000	12000000	15|19	7|35	19|23
6	12000000	13000000	1|19	12|20	18|21
6	13000000	14000000	3|13	5|11	5|16
6	14000000	15000000	1|15	21|32	13|21
6	15000000	16000000	32|45	2|8	2|34
6	16000000	17000000	3|45	10|27	27|42
6	17000000	18000000	3|28	1|30	29|30
6	18000000	19000000	19|21	23|42	2|42
6	19000000	20000000	17|25	2|9	3|17
6	20000000	21000000	5|42	2|31	3|39
6	21000000	22000000	9|23	12|27	10|23
6	22000000	23000000	1|15	1|4	7|19
6	23000000	24000000	29|35	27|35	23|31
6	24000000	25000000	25|27	2|25	4|33
6	25000000	26000000	7|29	9|13	5|20
6	26000000	27000000	8|19	11|32	18|24
6	27000000	28000000	10|29	2|35	5|35
6	28000000	29000000	22|23	16|23	23|27
6	29000000	30000000	4|16	2|5	2|23
6	30000000	31000000	5|28	20|23	21|23
6	31000000	32000000	23|29	1|13	6|26
6	32000000	33000000	23|24	4|8	13|17
6	33000000	34000000	4|20	29|33	18|18
6	34000000	35000000	20|27	27|41	11|11
6	35000000	36000000	5|26	16|26	2|2
6	36000000	37000000	5|13	4|5	12|12
6	37000000	38000000	5|13	13|24	7|7
6	38000000	39000000	1|17	15|17	5|5
6	39000000	40000000	2|7	11|14	19|19
6	40000000	41000000	13|26	22|27	7|7
6	41000000	42000000	11|28	4|18	17|17
6	42000000	43000000	21|28	1|21	13|13
6	43000000	44000000	21|25	24|34	46|46
6	44000000	45000000	13|36	11|33	35|35
6	45000000	46000000	21|25	3|25	16|16
6	46000000	47000000	16|26	17|26	39|39
6	47000000	48000000	5|29	12|29	8|8
6	48000000	49000000	14|30	14|41	38|38
6	49000000	50000000	7|33	5|7	30|30
6	50000000	51000000	14|36	12|28	15|16
6	51000000	52000000	10|30	7|18	3|13
6	52000000	53000000	17|19	9|20	2|24
6	53000000	54000000	6|30	8|21	7|27
6	54000000	55000000	18|26	2|43	6|25
6	55000000	56000000	33|35	15|20	12|29
6	56000000	57000000	2|27	18|27	29|29
6	57000000	58000000	7|11	6|11	32|32
6	58000000	59000000	2|28	18|28	21|21
6	59000000	60000000	7|15	12|15	28|28
6	60000000	61000000	31|35	19|31	4|4
6	61000000	62000000	17|30	1|30	11|11
6	62000000	63000000	14|22	22|23	16|16
6	63000000	64000000	11|20	8|11	17|17
6	64000000	65000000	11|30	4|11	7|7
6	65000000	66000000	18|18	4|18	11|11
6	66000000	67000000	29|29	9|29	16|16
6	67000000	68000000	17|17	7|21	29|29
6	68000000	69000000	11|14	1|5	28|28
6	69000000	70000000	7|9	1|15	32|32
6	70000000	71000000	15|34	1|13	19|19
6	71000000	72000000	16|17	3|27	40|40
6	72000000	73000000	19|48	1|31	13|13
6	73000000	74000000	34|36	1|29	51|51
6	74000000	75000000	32|35	1|15	1|1
6	75000000	76000000	23|40	1|35	1|1
6	76000000	77000000	11|58	1|36	1|1
6	77000000	78000000	27|38	4|20	19|19
7	0	1000000	5|24	7|21	13|13
7	1000000	2000000	2|6	1|11	8|8
7	2000000	3000000	1|11	9|14	8|8
7	3000000	4000000	7|21	18|20	13|13
7	4000000	5000000	19|21	4|15	10|10
7	5000000	6000000	20|28	10|19	6|6
7	6000000	7000000	22|28	1|19	23|23
7	7000000	8000000	17|29	14|21	5|5
7	8000000	9000000	11|31	15|21	23|23
7	9000000	10000000	1|19	5|10	34|34
7	10000000	11000000	1|36	41|44	32|32
7	11000000	12000000	11|18	2|13	1|1
7	12000000	13000000	8|10	5|24	23|23
7	13000000	14000000	2|20	19|29	5|5
7	14000000	15000000	2|4	1|6	25|25
7	15000000	16000000	14|25	1|20	14|14
7	16000000	17000000	7|35	2|11	36|37
7	17000000	18000000	5|36	8|8	6|17
7	18000000	19000000	19|21	4|4	30|30
7	19000000	20000000	8|12	6|6	19|19
7	20000000	21000000	17|30	4|4	21|21
7	21000000	22000000	3|30	7|10	20|20
7	22000000	23000000	20|26	1|28	3|3
7	23000000	24000000	10|26	4|24	1|1
7	24000000	25000000	4|28	16|18	12|12
7	25000000	26000000	31|33	9|18	14|14
7	26000000	27000000	1|31	9|13	33|33
7	27000000	28000000	5|16	11|13	17|22
7	28000000	29000000	11|21	4|13	1|18
7	29000000	30000000	1|9	2|29	16|19
7	30000000	31000000	2|13	6|33	5|23
7	31000000	32000000	28|34	13|18	2|29
7	32000000	33000000	3|10	31|32	2|21
7	33000000	34000000	1|8	18|21	18|25
7	34000000	35000000	1|18	9|27	23|27
7	35000000	36000000	1|5	23|29	23|27
7	36000000	37000000	1|9	10|20	10|22
7	37000000	38000000	1|23	17|26	8|17
7	38000000	39000000	18|29	12|21	1|21
7	39000000	40000000	18|22	9|26	9|15
7	40000000	41000000	26|35	40|42	34|40
7	41000000	42000000	11|14	5|8	8|21
7	42000000	43000000	3|7	1|25	1|3
7	43000000	44000000	1|4	8|29	8|20
7	44000000	45000000	1|34	22|22	20|22
7	45000000	46000000	16|37	4|4	4|31
7	46000000	47000000	7|24	19|19	19|19
7	47000000	48000000	1|22	17|17	17|17
7	48000000	49000000	10|12	27|27	27|27
7	49000000	50000000	20|31	23|23	23|23
7	50000000	51000000	5|18	27|27	27|34
7	51000000	52000000	3|20	27|27	16|27
7	52000000	53000000	1|10	31|31	21|31
7	53000000	54000000	8|26	3|3	3|32
7	54000000	55000000	24|34	10|10	10|13
7	55000000	56000000	8|21	25|25	4|25
7	56000000	57000000	7|14	4|4	4|8
7	57000000	58000000	11|14	45|45	27|38
7	58000000	59000000	4|13	22|22	1|16
7	59000000	60000000	11|16	29|29	1|36
7	60000000	61000000	6|23	8|8	25|35
7	61000000	62000000	23|28	10|10	34|38
7	62000000	63000000	13|45	36|36	17|27
7	63000000	64000000	29|49	11|11	14|40
7	64000000	65000000	22|34	15|15	16|38
7	65000000	66000000	29|48	24|24	1|20
7	66000000	67000000	9|27	10|17	10|16
7	67000000	68000000	25|38	22|50	14|31
7	68000000	69000000	1|3	23|35	8|18
7	69000000	70000000	8|28	10|21	13|25
7	70000000	71000000	13|40	17|29	15|36
7	71000000	72000000	30|40	4|14	6|14
7	72000000	73000000	7|22	9|33	9|17
7	73000000	74000000	9|46	37|42	14|37
7	74000000	75000000	1|41	4|27	15|27
7	75000000	76000000	21|30	16|34	14|34
7	76000000	77000000	10|22	8|30	8|13
